,job id,time (hours),cdf
41,4075,4403,0.232
207,4288,4428,0.233
30,4052,4445,0.234
644,4762,4457,0.235
252,4339,4474,0.236
520,4619,4480,0.237
747,4862,4488,0.238
282,4369,4513,0.239
340,4431,4559,0.24
886,4996,4602,0.241
496,4600,4608,0.242
541,4648,4630,0.243
212,4294,4631,0.244
148,4225,4662,0.245
491,4596,4716,0.246
438,4537,4721,0.247
836,4952,4732,0.248
599,4710,4747,0.249
96,4146,4755,0.25
823,4940,4760,0.251
198,4279,4766,0.252
430,4525,4810,0.253
684,4792,4866,0.254
538,4639,4911,0.255
437,4534,4939,0.256
676,4786,4957,0.257
428,4524,4964,0.258
471,4564,4995,0.259
200,4280,5012,0.26
826,4943,5017,0.261
110,4167,5022,0.262
887,4994,5030,0.263
767,4886,5046,0.264
242,4322,5082,0.265
444,4540,5101,0.266
397,4492,5104,0.267
3,4004,5117,0.268
614,4728,5123,0.269
78,4131,5142,0.27
549,4657,5154,0.271
58,4099,5160,0.272
140,4207,5242,0.273
393,4487,5288,0.274
216,4297,5290,0.275
465,4559,5307,0.276
389,4483,5329,0.277
819,4937,5338,0.278
737,4852,5370,0.279
578,4681,5408,0.28
814,4925,5475,0.281
19,4038,5493,0.282
365,4459,5504,0.283
101,4154,5547,0.284
597,4697,5560,0.285
157,4238,5634,0.286
367,4460,5640,0.287
810,4918,5648,0.288
510,4611,5650,0.289
190,4266,5661,0.29
784,4893,5667,0.291
686,4799,5670,0.292
734,4845,5683,0.293
606,4714,5700,0.294
862,4976,5701,0.295
556,4664,5804,0.296
230,4305,5820,0.297
392,4485,5827,0.298
695,4804,5831,0.299
456,4548,5868,0.3
795,4901,5896,0.301
821,4938,5914,0.302
214,4293,5921,0.303
567,4670,5931,0.304
754,4867,5933,0.305
166,4241,5989,0.306
462,4553,6025,0.307
192,4268,6038,0.308
627,4737,6043,0.309
221,4299,6052,0.31
9,4019,6061,0.311
80,4130,6175,0.3125
479,4575,6175,0.3125
420,4510,6197,0.314
232,4310,6223,0.315
341,4427,6253,0.316
641,4745,6265,0.317
832,4944,6273,0.318
789,4894,6283,0.319
219,4296,6346,0.32
551,4656,6349,0.321
236,4318,6354,0.322
255,4336,6383,0.323
14,4026,6505,0.324
532,4627,6514,0.325
79,4126,6563,0.326
780,4892,6569,0.327
736,4842,6599,0.328
171,4245,6623,0.329
115,4165,6628,0.33
586,4686,6646,0.331
26,4046,6664,0.332
820,4932,6672,0.333
222,4298,6690,0.334
333,4420,6695,0.335
505,4603,6773,0.336
719,4822,6780,0.337
813,4920,6785,0.338
150,4216,6910,0.339
118,4174,6982,0.34
722,4826,7022,0.341
363,4454,7037,0.342
555,4659,7129,0.343
434,4522,7156,0.344
717,4821,7175,0.345
122,4182,7186,0.346
440,4531,7191,0.347
74,4122,7200,0.348
762,4874,7209,0.349
39,4061,7283,0.35
52,4087,7289,0.351
616,4719,7314,0.352
607,4708,7322,0.353
533,4625,7329,0.354
455,4543,7334,0.355
129,4185,7338,0.356
159,4234,7364,0.357
406,4499,7387,0.358
628,4734,7397,0.359
544,4645,7412,0.36
517,4613,7424,0.361
358,4449,7444,0.362
489,4588,7497,0.363
536,4630,7502,0.364
822,4933,7547,0.365
453,4541,7556,0.366
337,4421,7600,0.367
509,4606,7667,0.368
481,4570,7687,0.369
59,4093,7697,0.37
622,4731,7701,0.371
693,4795,7735,0.3725
64,4098,7735,0.3725
181,4254,7740,0.374
778,4887,7744,0.375
253,4333,7772,0.376
195,4262,7790,0.377
474,4561,7825,0.378
279,4355,7872,0.379
20,4033,7874,0.38
620,4729,7898,0.381
809,4909,7918,0.382
114,4156,7922,0.383
136,4190,7940,0.384
261,4337,7945,0.385
28,4043,8086,0.386
244,4320,8138,0.387
247,4327,8170,0.388
816,4922,8190,0.389
515,4607,8204,0.39
5,4006,8211,0.391
17,4027,8223,0.392
497,4595,8286,0.393
480,4568,8290,0.394
530,4622,8389,0.395
769,4879,8427,0.396
380,4469,8442,0.397
801,4903,8471,0.398
184,4255,8530,0.399
561,4663,8540,0.4
346,4435,8555,0.401
698,4796,8562,0.402
871,4978,8576,0.403
700,4800,8600,0.4045
10,4014,8600,0.4045
91,4134,8726,0.406
678,4781,8747,0.407
210,4277,8839,0.408
32,4049,8844,0.409
187,4257,8863,0.41
798,4896,8866,0.411
543,4635,8869,0.412
753,4854,8892,0.413
193,4259,8926,0.414
632,4738,8954,0.415
511,4602,8968,0.416
173,4240,9016,0.417
21,4032,9026,0.418
851,4950,9072,0.419
29,4045,9125,0.42
25,4040,9169,0.421
70,4106,9183,0.422
490,4584,9293,0.423
665,4767,9363,0.424
679,4779,9371,0.425
51,4079,9434,0.426
267,4341,9461,0.427
418,4503,9503,0.428
631,4732,9534,0.429
654,4748,9660,0.43
774,4878,9708,0.431
746,4847,9753,0.432
472,4552,10005,0.433
872,4975,10039,0.434
235,4302,10045,0.435
708,4807,10066,0.436
705,4802,10095,0.437
57,4085,10137,0.438
38,4053,10147,0.439
524,4614,10165,0.44
215,4278,10209,0.441
587,4679,10277,0.4425
94,4133,10277,0.4425
8,4010,10356,0.444
231,4295,10411,0.445
163,4219,10458,0.446
694,4788,10521,0.4475
189,4252,10521,0.4475
715,4812,10560,0.449
102,4143,10656,0.45
87,4128,10706,0.451
124,4166,10811,0.452
596,4682,10819,0.453
351,4432,10926,0.454
683,4782,10930,0.455
704,4801,10941,0.456
378,4464,11114,0.457
658,4746,11142,0.458
88,4129,11160,0.459
670,4768,11161,0.46
164,4218,11166,0.461
288,4350,11197,0.462
321,4398,11409,0.463
786,4884,11435,0.464
582,4674,11477,0.465
143,4199,11517,0.466
