,time (hours),Agg GPU alloc(%)
0,0.0,0.0
1,0.08333333333333333,0.0
2,0.16666666666666666,0.78125
3,0.25,0.78125
4,0.3333333333333333,2.34375
5,0.4166666666666667,1.5625
6,0.5,4.6875
7,0.5833333333333334,5.46875
8,0.6666666666666666,7.03125
9,0.75,7.8125
10,0.8333333333333334,7.8125
11,0.9166666666666666,8.59375
12,1.0,7.8125
13,1.0833333333333333,9.375
14,1.1666666666666667,8.59375
15,1.25,8.59375
16,1.3333333333333333,8.59375
17,1.4166666666666667,8.59375
18,1.5,10.15625
19,1.5833333333333333,10.9375
20,1.6666666666666667,10.9375
21,1.75,13.28125
22,1.8333333333333333,11.71875
23,1.9166666666666667,11.71875
24,2.0,11.71875
25,2.0833333333333335,11.71875
26,2.1666666666666665,12.5
27,2.25,12.5
28,2.3333333333333335,14.0625
29,2.4166666666666665,14.0625
30,2.5,14.84375
31,2.5833333333333335,14.84375
32,2.6666666666666665,15.625
33,2.75,16.40625
34,2.8333333333333335,17.96875
35,2.9166666666666665,17.96875
36,3.0,18.75
37,3.0833333333333335,18.75
38,3.1666666666666665,19.53125
39,3.25,21.875
40,3.3333333333333335,22.65625
41,3.4166666666666665,21.875
42,3.5,22.65625
43,3.5833333333333335,21.875
44,3.6666666666666665,21.09375
45,3.75,22.65625
46,3.8333333333333335,22.65625
47,3.9166666666666665,21.875
48,4.0,22.65625
49,4.083333333333333,21.875
50,4.166666666666667,21.875
51,4.25,22.65625
52,4.333333333333333,24.21875
53,4.416666666666667,25.0
54,4.5,26.5625
55,4.583333333333333,26.5625
56,4.666666666666667,25.78125
57,4.75,25.0
58,4.833333333333333,24.21875
59,4.916666666666667,24.21875
60,5.0,22.65625
61,5.083333333333333,22.65625
62,5.166666666666667,21.875
63,5.25,21.875
64,5.333333333333333,22.65625
65,5.416666666666667,21.875
66,5.5,23.4375
67,5.583333333333333,22.65625
68,5.666666666666667,23.4375
69,5.75,24.21875
70,5.833333333333333,24.21875
71,5.916666666666667,25.0
72,6.0,25.0
73,6.083333333333333,25.0
74,6.166666666666667,25.78125
75,6.25,25.78125
76,6.333333333333333,25.78125
77,6.416666666666667,26.5625
78,6.5,25.78125
79,6.583333333333333,28.125
80,6.666666666666667,28.125
81,6.75,28.125
82,6.833333333333333,28.125
83,6.916666666666667,28.90625
84,7.0,28.90625
85,7.083333333333333,28.125
86,7.166666666666667,27.34375
87,7.25,26.5625
88,7.333333333333333,27.34375
89,7.416666666666667,27.34375
90,7.5,27.34375
91,7.583333333333333,28.125
92,7.666666666666667,28.125
93,7.75,28.125
94,7.833333333333333,28.90625
95,7.916666666666667,28.90625
96,8.0,28.90625
97,8.083333333333334,29.6875
98,8.166666666666666,29.6875
99,8.25,28.90625
100,8.333333333333334,29.6875
101,8.416666666666666,31.25
102,8.5,31.25
103,8.583333333333334,31.25
104,8.666666666666666,31.25
105,8.75,29.6875
106,8.833333333333334,29.6875
107,8.916666666666666,31.25
108,9.0,30.46875
109,9.083333333333334,31.25
110,9.166666666666666,31.25
111,9.25,31.25
112,9.333333333333334,31.25
113,9.416666666666666,31.25
114,9.5,30.46875
115,9.583333333333334,30.46875
116,9.666666666666666,31.25
117,9.75,30.46875
118,9.833333333333334,30.46875
119,9.916666666666666,29.6875
120,10.0,29.6875
121,10.083333333333334,28.90625
122,10.166666666666666,29.6875
123,10.25,28.90625
124,10.333333333333334,28.90625
125,10.416666666666666,28.125
126,10.5,28.125
127,10.583333333333334,28.125
128,10.666666666666666,28.125
129,10.75,28.125
130,10.833333333333334,28.125
131,10.916666666666666,28.90625
132,11.0,28.90625
133,11.083333333333334,32.8125
134,11.166666666666666,32.8125
135,11.25,32.03125
136,11.333333333333334,32.03125
137,11.416666666666666,32.8125
138,11.5,33.59375
139,11.583333333333334,34.375
140,11.666666666666666,34.375
141,11.75,35.15625
142,11.833333333333334,33.59375
143,11.916666666666666,35.15625
144,12.0,35.9375
145,12.083333333333334,36.71875
146,12.166666666666666,36.71875
147,12.25,35.9375
148,12.333333333333334,36.71875
149,12.416666666666666,37.5
150,12.5,37.5
151,12.583333333333334,38.28125
152,12.666666666666666,39.0625
153,12.75,39.0625
154,12.833333333333334,39.84375
155,12.916666666666666,41.40625
156,13.0,40.625
157,13.083333333333334,40.625
158,13.166666666666666,40.625
159,13.25,40.625
160,13.333333333333334,39.84375
161,13.416666666666666,39.84375
162,13.5,41.40625
163,13.583333333333334,40.625
164,13.666666666666666,39.84375
165,13.75,39.84375
166,13.833333333333334,41.40625
167,13.916666666666666,42.96875
168,14.0,43.75
169,14.083333333333334,45.3125
170,14.166666666666666,47.65625
171,14.25,48.4375
172,14.333333333333334,49.21875
173,14.416666666666666,50.0
174,14.5,51.5625
175,14.583333333333334,51.5625
176,14.666666666666666,52.34375
177,14.75,52.34375
178,14.833333333333334,52.34375
179,14.916666666666666,51.5625
180,15.0,51.5625
181,15.083333333333334,50.78125
182,15.166666666666666,51.5625
183,15.25,52.34375
184,15.333333333333334,51.5625
185,15.416666666666666,50.78125
186,15.5,50.0
187,15.583333333333334,49.21875
188,15.666666666666666,49.21875
189,15.75,48.4375
190,15.833333333333334,48.4375
191,15.916666666666666,48.4375
192,16.0,49.21875
193,16.083333333333332,49.21875
194,16.166666666666668,49.21875
195,16.25,49.21875
196,16.333333333333332,50.0
197,16.416666666666668,50.0
198,16.5,48.4375
199,16.583333333333332,50.0
200,16.666666666666668,50.0
201,16.75,50.0
202,16.833333333333332,50.78125
203,16.916666666666668,52.34375
204,17.0,51.5625
