,time (hours),Agg CPU demand(%)
0,0.0,0.0
1,0.08333333333333333,0.0
2,0.16666666666666666,3.125
3,0.25,3.125
4,0.3333333333333333,3.6458333333333335
5,0.4166666666666667,3.6458333333333335
6,0.5,8.072916666666668
7,0.5833333333333334,8.333333333333332
8,0.6666666666666666,8.854166666666666
9,0.75,6.770833333333333
10,0.8333333333333334,6.770833333333333
11,0.9166666666666666,7.031249999999999
12,1.0,7.031249999999999
13,1.0833333333333333,8.072916666666666
14,1.1666666666666667,7.8125
15,1.25,7.8125
16,1.3333333333333333,7.8125
17,1.4166666666666667,7.8125
18,1.5,9.635416666666666
19,1.5833333333333333,7.552083333333333
20,1.6666666666666667,7.552083333333333
21,1.75,11.197916666666666
22,1.8333333333333333,10.15625
23,1.9166666666666667,10.15625
24,2.0,10.416666666666666
25,2.0833333333333335,10.416666666666666
26,2.1666666666666665,10.677083333333332
27,2.25,10.677083333333332
28,2.3333333333333335,12.5
29,2.4166666666666665,9.375
30,2.5,9.635416666666664
31,2.5833333333333335,9.635416666666664
32,2.6666666666666665,12.760416666666666
33,2.75,13.020833333333332
34,2.8333333333333335,13.541666666666666
35,2.9166666666666665,15.885416666666664
36,3.0,16.145833333333332
37,3.0833333333333335,16.145833333333332
38,3.1666666666666665,16.40625
39,3.25,17.708333333333332
40,3.3333333333333335,18.75
41,3.4166666666666665,18.489583333333332
42,3.5,18.749999999999996
43,3.5833333333333335,18.489583333333332
44,3.6666666666666665,18.229166666666664
45,3.75,18.489583333333332
46,3.8333333333333335,18.489583333333332
47,3.9166666666666665,17.708333333333332
48,4.0,17.96875
49,4.083333333333333,17.708333333333332
50,4.166666666666667,17.708333333333332
51,4.25,19.270833333333332
52,4.333333333333333,19.791666666666664
53,4.416666666666667,22.916666666666664
54,4.5,23.437499999999996
55,4.583333333333333,23.437499999999996
56,4.666666666666667,23.437499999999996
57,4.75,23.177083333333332
58,4.833333333333333,22.916666666666664
59,4.916666666666667,22.916666666666664
60,5.0,22.39583333333333
61,5.083333333333333,20.833333333333332
62,5.166666666666667,20.572916666666664
63,5.25,23.697916666666668
64,5.333333333333333,23.95833333333333
65,5.416666666666667,23.697916666666668
66,5.5,24.739583333333336
67,5.583333333333333,24.479166666666664
68,5.666666666666667,24.739583333333336
69,5.75,25.0
70,5.833333333333333,27.083333333333332
71,5.916666666666667,27.34375
72,6.0,27.34375
73,6.083333333333333,27.34375
74,6.166666666666667,27.604166666666668
75,6.25,27.864583333333332
76,6.333333333333333,27.864583333333332
77,6.416666666666667,28.90625
78,6.5,28.645833333333332
79,6.583333333333333,30.729166666666664
80,6.666666666666667,30.729166666666664
81,6.75,27.604166666666664
82,6.833333333333333,25.260416666666664
83,6.916666666666667,25.520833333333332
84,7.0,25.520833333333332
85,7.083333333333333,25.260416666666664
86,7.166666666666667,24.999999999999996
87,7.25,24.999999999999996
88,7.333333333333333,25.260416666666664
89,7.416666666666667,26.822916666666664
90,7.5,26.822916666666664
91,7.583333333333333,27.08333333333333
92,7.666666666666667,27.08333333333333
93,7.75,27.08333333333333
94,7.833333333333333,27.34375
95,7.916666666666667,26.822916666666664
96,8.0,29.6875
97,8.083333333333334,29.947916666666664
98,8.166666666666666,29.947916666666664
99,8.25,29.6875
100,8.333333333333334,29.947916666666664
101,8.416666666666666,30.989583333333332
102,8.5,30.989583333333332
103,8.583333333333334,30.989583333333332
104,8.666666666666666,34.114583333333336
105,8.75,33.59375
106,8.833333333333334,33.59375
107,8.916666666666666,34.114583333333336
108,9.0,33.854166666666664
109,9.083333333333334,34.114583333333336
110,9.166666666666666,34.114583333333336
111,9.25,36.45833333333333
112,9.333333333333334,36.45833333333333
113,9.416666666666666,36.71875
114,9.5,36.45833333333333
115,9.583333333333334,36.45833333333333
116,9.666666666666666,38.020833333333336
117,9.75,38.020833333333336
118,9.833333333333334,36.97916666666667
119,9.916666666666666,36.71875000000001
120,10.0,36.71875000000001
121,10.083333333333334,36.458333333333336
122,10.166666666666666,36.71875000000001
123,10.25,36.458333333333336
124,10.333333333333334,37.239583333333336
125,10.416666666666666,36.979166666666664
126,10.5,36.979166666666664
127,10.583333333333334,36.979166666666664
128,10.666666666666666,36.979166666666664
129,10.75,36.979166666666664
130,10.833333333333334,36.979166666666664
131,10.916666666666666,37.239583333333336
132,11.0,37.239583333333336
133,11.083333333333334,40.364583333333336
134,11.166666666666666,40.364583333333336
135,11.25,40.364583333333336
136,11.333333333333334,40.625
137,11.416666666666666,43.74999999999999
138,11.5,44.010416666666664
139,11.583333333333334,41.14583333333333
140,11.666666666666666,38.02083333333333
141,11.75,38.28124999999999
142,11.833333333333334,35.15625
143,11.916666666666666,38.541666666666664
144,12.0,38.80208333333333
145,12.083333333333334,40.36458333333333
146,12.166666666666666,40.36458333333333
147,12.25,40.10416666666666
148,12.333333333333334,40.36458333333333
149,12.416666666666666,42.96875
150,12.5,42.96875
151,12.583333333333334,43.229166666666664
152,12.666666666666666,43.48958333333333
153,12.75,41.927083333333336
154,12.833333333333334,42.96874999999999
155,12.916666666666666,44.010416666666664
156,13.0,43.75
157,13.083333333333334,43.75
158,13.166666666666666,43.75
159,13.25,43.75
160,13.333333333333334,43.489583333333336
161,13.416666666666666,43.75
162,13.5,45.57291666666666
163,13.583333333333334,45.31249999999999
164,13.666666666666666,45.05208333333333
165,13.75,45.05208333333333
166,13.833333333333334,45.57291666666667
167,13.916666666666666,48.95833333333333
168,14.0,46.875
169,14.083333333333334,48.697916666666664
170,14.166666666666666,52.34375000000001
171,14.25,52.60416666666666
