,time (hours),Agg CPU util(%)
0,0.0,0.0
1,0.08333333333333333,0.0
2,0.16666666666666666,0.78125
3,0.25,0.78125
4,0.3333333333333333,1.3020833333333335
5,0.4166666666666667,1.3020833333333335
6,0.5,3.3854166666666665
7,0.5833333333333334,3.6458333333333335
8,0.6666666666666666,4.166666666666666
9,0.75,4.166666666666667
10,0.8333333333333334,4.166666666666667
11,0.9166666666666666,4.427083333333334
12,1.0,4.427083333333334
13,1.0833333333333333,5.46875
14,1.1666666666666667,5.208333333333333
15,1.25,5.208333333333333
16,1.3333333333333333,5.208333333333333
17,1.4166666666666667,5.208333333333333
18,1.5,6.25
19,1.5833333333333333,5.729166666666667
20,1.6666666666666667,5.729166666666667
21,1.75,7.031250000000001
22,1.8333333333333333,5.989583333333333
23,1.9166666666666667,5.989583333333333
24,2.0,6.25
25,2.0833333333333335,6.25
26,2.1666666666666665,6.510416666666667
27,2.25,6.510416666666667
28,2.3333333333333335,7.552083333333334
29,2.4166666666666665,6.770833333333334
30,2.5,7.03125
31,2.5833333333333335,7.03125
32,2.6666666666666665,7.8125
33,2.75,8.072916666666666
34,2.8333333333333335,8.59375
35,2.9166666666666665,9.375
36,3.0,9.635416666666666
37,3.0833333333333335,9.635416666666666
38,3.1666666666666665,9.895833333333334
39,3.25,11.197916666666666
40,3.3333333333333335,11.979166666666668
41,3.4166666666666665,11.71875
42,3.5,11.979166666666668
43,3.5833333333333335,11.71875
44,3.6666666666666665,11.458333333333332
45,3.75,11.71875
46,3.8333333333333335,11.71875
47,3.9166666666666665,10.9375
48,4.0,11.197916666666668
49,4.083333333333333,10.9375
50,4.166666666666667,10.9375
51,4.25,11.71875
52,4.333333333333333,12.239583333333332
53,4.416666666666667,13.020833333333334
54,4.5,13.541666666666668
55,4.583333333333333,13.541666666666668
56,4.666666666666667,13.541666666666668
57,4.75,13.281249999999998
58,4.833333333333333,13.020833333333334
59,4.916666666666667,13.020833333333334
60,5.0,12.5
61,5.083333333333333,11.71875
62,5.166666666666667,11.458333333333334
63,5.25,12.239583333333332
64,5.333333333333333,12.5
65,5.416666666666667,12.239583333333332
66,5.5,13.28125
67,5.583333333333333,13.020833333333336
68,5.666666666666667,13.28125
69,5.75,13.541666666666668
70,5.833333333333333,14.0625
71,5.916666666666667,14.322916666666666
72,6.0,14.322916666666666
73,6.083333333333333,14.322916666666666
74,6.166666666666667,14.583333333333334
75,6.25,14.843750000000002
76,6.333333333333333,14.843750000000002
77,6.416666666666667,15.625
78,6.5,15.364583333333334
79,6.583333333333333,16.666666666666668
80,6.666666666666667,16.666666666666668
81,6.75,15.885416666666668
82,6.833333333333333,15.104166666666666
83,6.916666666666667,15.364583333333334
84,7.0,15.364583333333334
85,7.083333333333333,15.104166666666668
86,7.166666666666667,14.84375
87,7.25,14.84375
88,7.333333333333333,15.104166666666668
89,7.416666666666667,15.885416666666668
90,7.5,15.885416666666668
91,7.583333333333333,16.145833333333336
92,7.666666666666667,16.145833333333336
93,7.75,16.145833333333336
94,7.833333333333333,16.40625
95,7.916666666666667,15.885416666666668
96,8.0,16.40625
97,8.083333333333334,16.666666666666668
98,8.166666666666666,16.666666666666668
99,8.25,16.40625
100,8.333333333333334,16.666666666666668
101,8.416666666666666,17.708333333333336
102,8.5,17.708333333333336
103,8.583333333333334,17.708333333333336
104,8.666666666666666,18.489583333333332
105,8.75,17.96875
106,8.833333333333334,17.96875
107,8.916666666666666,18.489583333333332
108,9.0,18.229166666666668
109,9.083333333333334,18.489583333333332
110,9.166666666666666,18.489583333333332
111,9.25,19.270833333333336
112,9.333333333333334,19.270833333333336
113,9.416666666666666,19.531250000000004
114,9.5,19.270833333333332
115,9.583333333333334,19.270833333333332
116,9.666666666666666,20.052083333333336
117,9.75,20.052083333333336
118,9.833333333333334,19.270833333333332
119,9.916666666666666,19.010416666666668
120,10.0,19.010416666666668
121,10.083333333333334,18.750000000000004
122,10.166666666666666,19.010416666666668
123,10.25,18.750000000000004
124,10.333333333333334,19.270833333333332
125,10.416666666666666,19.010416666666664
126,10.5,19.010416666666664
127,10.583333333333334,19.010416666666664
128,10.666666666666666,19.010416666666664
129,10.75,19.010416666666664
130,10.833333333333334,19.010416666666664
131,10.916666666666666,19.270833333333332
132,11.0,19.270833333333332
133,11.083333333333334,21.614583333333332
134,11.166666666666666,21.614583333333332
135,11.25,21.614583333333332
136,11.333333333333334,21.875
137,11.416666666666666,22.65625
138,11.5,22.916666666666668
139,11.583333333333334,22.395833333333332
140,11.666666666666666,21.614583333333336
141,11.75,21.875000000000004
142,11.833333333333334,21.093750000000004
143,11.916666666666666,22.135416666666668
144,12.0,22.395833333333332
145,12.083333333333334,23.177083333333332
146,12.166666666666666,23.177083333333332
147,12.25,22.916666666666664
148,12.333333333333334,23.177083333333332
149,12.416666666666666,24.21875
150,12.5,24.21875
151,12.583333333333334,24.479166666666668
152,12.666666666666666,24.739583333333336
153,12.75,23.958333333333332
154,12.833333333333334,24.739583333333332
155,12.916666666666666,25.781250000000004
156,13.0,25.520833333333336
157,13.083333333333334,25.520833333333336
158,13.166666666666666,25.520833333333336
159,13.25,25.520833333333336
160,13.333333333333334,25.260416666666664
161,13.416666666666666,25.520833333333336
162,13.5,26.5625
163,13.583333333333334,26.302083333333336
