,time (hours),Agg GPU demand(%)
0,0.0,0.0
1,0.08333333333333333,0.0
2,0.16666666666666666,0.78125
3,0.25,0.78125
4,0.3333333333333333,2.34375
5,0.4166666666666667,2.34375
6,0.5,5.46875
7,0.5833333333333334,6.25
8,0.6666666666666666,7.8125
9,0.75,7.8125
10,0.8333333333333334,7.8125
11,0.9166666666666666,8.59375
12,1.0,8.59375
13,1.0833333333333333,10.15625
14,1.1666666666666667,9.375
15,1.25,9.375
16,1.3333333333333333,9.375
17,1.4166666666666667,9.375
18,1.5,10.9375
19,1.5833333333333333,10.9375
20,1.6666666666666667,10.9375
21,1.75,13.28125
22,1.8333333333333333,11.71875
23,1.9166666666666667,11.71875
24,2.0,12.5
25,2.0833333333333335,12.5
26,2.1666666666666665,13.28125
27,2.25,13.28125
28,2.3333333333333335,14.84375
29,2.4166666666666665,14.0625
30,2.5,14.84375
31,2.5833333333333335,14.84375
32,2.6666666666666665,15.625
33,2.75,16.40625
34,2.8333333333333335,17.96875
35,2.9166666666666665,18.75
36,3.0,19.53125
37,3.0833333333333335,19.53125
38,3.1666666666666665,20.3125
39,3.25,22.65625
40,3.3333333333333335,23.4375
41,3.4166666666666665,22.65625
42,3.5,23.4375
43,3.5833333333333335,22.65625
44,3.6666666666666665,21.875
45,3.75,22.65625
46,3.8333333333333335,22.65625
47,3.9166666666666665,21.875
48,4.0,22.65625
49,4.083333333333333,21.875
50,4.166666666666667,21.875
51,4.25,22.65625
52,4.333333333333333,24.21875
53,4.416666666666667,25.0
54,4.5,26.5625
55,4.583333333333333,26.5625
56,4.666666666666667,26.5625
57,4.75,25.78125
58,4.833333333333333,25.0
59,4.916666666666667,25.0
60,5.0,23.4375
61,5.083333333333333,22.65625
62,5.166666666666667,21.875
63,5.25,22.65625
64,5.333333333333333,23.4375
65,5.416666666666667,22.65625
66,5.5,24.21875
67,5.583333333333333,23.4375
68,5.666666666666667,24.21875
69,5.75,25.0
70,5.833333333333333,25.0
71,5.916666666666667,25.78125
72,6.0,25.78125
73,6.083333333333333,25.78125
74,6.166666666666667,26.5625
75,6.25,27.34375
76,6.333333333333333,27.34375
77,6.416666666666667,28.125
78,6.5,27.34375
79,6.583333333333333,29.6875
80,6.666666666666667,29.6875
81,6.75,28.90625
82,6.833333333333333,28.125
83,6.916666666666667,28.90625
84,7.0,28.90625
85,7.083333333333333,28.125
86,7.166666666666667,27.34375
87,7.25,27.34375
88,7.333333333333333,28.125
89,7.416666666666667,28.90625
90,7.5,28.90625
91,7.583333333333333,29.6875
92,7.666666666666667,29.6875
93,7.75,29.6875
94,7.833333333333333,30.46875
95,7.916666666666667,30.46875
96,8.0,30.46875
97,8.083333333333334,31.25
98,8.166666666666666,31.25
99,8.25,30.46875
100,8.333333333333334,31.25
101,8.416666666666666,32.8125
102,8.5,32.8125
103,8.583333333333334,32.8125
104,8.666666666666666,33.59375
105,8.75,32.03125
106,8.833333333333334,32.03125
107,8.916666666666666,33.59375
108,9.0,32.8125
109,9.083333333333334,33.59375
110,9.166666666666666,33.59375
111,9.25,34.375
112,9.333333333333334,34.375
113,9.416666666666666,35.15625
114,9.5,34.375
115,9.583333333333334,34.375
116,9.666666666666666,35.15625
117,9.75,35.15625
118,9.833333333333334,34.375
119,9.916666666666666,33.59375
120,10.0,33.59375
121,10.083333333333334,32.8125
122,10.166666666666666,33.59375
123,10.25,32.8125
124,10.333333333333334,32.8125
125,10.416666666666666,32.03125
126,10.5,32.03125
127,10.583333333333334,32.03125
128,10.666666666666666,32.03125
129,10.75,32.03125
130,10.833333333333334,32.03125
131,10.916666666666666,32.8125
132,11.0,32.8125
133,11.083333333333334,36.71875
134,11.166666666666666,36.71875
135,11.25,36.71875
136,11.333333333333334,37.5
137,11.416666666666666,38.28125
138,11.5,39.0625
139,11.583333333333334,39.0625
140,11.666666666666666,38.28125
141,11.75,39.0625
142,11.833333333333334,38.28125
143,11.916666666666666,39.84375
144,12.0,40.625
145,12.083333333333334,41.40625
146,12.166666666666666,41.40625
147,12.25,40.625
148,12.333333333333334,41.40625
149,12.416666666666666,42.96875
150,12.5,42.96875
151,12.583333333333334,43.75
152,12.666666666666666,44.53125
153,12.75,43.75
154,12.833333333333334,44.53125
155,12.916666666666666,46.09375
156,13.0,45.3125
157,13.083333333333334,45.3125
158,13.166666666666666,45.3125
159,13.25,45.3125
160,13.333333333333334,44.53125
161,13.416666666666666,45.3125
162,13.5,46.875
163,13.583333333333334,46.09375
164,13.666666666666666,45.3125
165,13.75,45.3125
166,13.833333333333334,46.875
167,13.916666666666666,48.4375
168,14.0,48.4375
169,14.083333333333334,50.0
170,14.166666666666666,52.34375
171,14.25,53.125
172,14.333333333333334,53.90625
173,14.416666666666666,54.6875
174,14.5,56.25
175,14.583333333333334,57.03125
176,14.666666666666666,57.8125
177,14.75,57.03125
178,14.833333333333334,57.03125
179,14.916666666666666,57.03125
180,15.0,56.25
181,15.083333333333334,56.25
182,15.166666666666666,57.03125
183,15.25,57.8125
184,15.333333333333334,57.8125
185,15.416666666666666,57.03125
186,15.5,56.25
187,15.583333333333334,55.46875
188,15.666666666666666,55.46875
189,15.75,54.6875
190,15.833333333333334,54.6875
191,15.916666666666666,56.25
192,16.0,57.03125
193,16.083333333333332,56.25
194,16.166666666666668,55.46875
195,16.25,54.6875
196,16.333333333333332,55.46875
197,16.416666666666668,55.46875
198,16.5,53.90625
199,16.583333333333332,55.46875
200,16.666666666666668,55.46875
201,16.75,53.90625
202,16.833333333333332,54.6875
203,16.916666666666668,56.25
204,17.0,55.46875
