,time (hours),Agg Mem util(%)
0,0.0,0.0
1,0.08333333333333333,0.0
2,0.16666666666666666,0.78125
3,0.25,0.78125
4,0.3333333333333333,1.28125
5,0.4166666666666667,1.28125
6,0.5,3.34375
7,0.5833333333333334,3.5937499999999996
8,0.6666666666666666,4.09375
9,0.75,4.09375
10,0.8333333333333334,4.09375
11,0.9166666666666666,4.34375
12,1.0,4.34375
13,1.0833333333333333,5.375
14,1.1666666666666667,5.125
15,1.25,5.125
16,1.3333333333333333,5.125
17,1.4166666666666667,5.125
18,1.5,6.15625
19,1.5833333333333333,5.625
20,1.6666666666666667,5.625
21,1.75,6.90625
22,1.8333333333333333,5.875
23,1.9166666666666667,5.875
24,2.0,6.125
25,2.0833333333333335,6.125
26,2.1666666666666665,6.375
27,2.25,6.375
28,2.3333333333333335,7.40625
29,2.4166666666666665,6.625
30,2.5,6.875
31,2.5833333333333335,6.875
32,2.6666666666666665,7.65625
33,2.75,7.90625
34,2.8333333333333335,8.40625
35,2.9166666666666665,9.1875
36,3.0,9.4375
37,3.0833333333333335,9.4375
38,3.1666666666666665,9.6875
39,3.25,10.96875
40,3.3333333333333335,11.75
41,3.4166666666666665,11.5
42,3.5,11.75
43,3.5833333333333335,11.5
44,3.6666666666666665,11.25
45,3.75,11.5
46,3.8333333333333335,11.5
47,3.9166666666666665,10.71875
48,4.0,10.96875
49,4.083333333333333,10.71875
50,4.166666666666667,10.71875
51,4.25,11.5
52,4.333333333333333,12.0
53,4.416666666666667,12.78125
54,4.5,13.28125
55,4.583333333333333,13.28125
56,4.666666666666667,13.28125
57,4.75,13.03125
58,4.833333333333333,12.78125
59,4.916666666666667,12.78125
60,5.0,12.28125
61,5.083333333333333,11.5
62,5.166666666666667,11.25
63,5.25,12.03125
64,5.333333333333333,12.28125
65,5.416666666666667,12.03125
66,5.5,13.0625
67,5.583333333333333,12.8125
68,5.666666666666667,13.0625
69,5.75,13.3125
70,5.833333333333333,13.84375
71,5.916666666666667,14.09375
72,6.0,14.09375
73,6.083333333333333,14.09375
74,6.166666666666667,14.34375
75,6.25,14.59375
76,6.333333333333333,14.59375
77,6.416666666666667,15.375
78,6.5,15.125
79,6.583333333333333,16.40625
80,6.666666666666667,16.40625
81,6.75,15.625
82,6.833333333333333,14.84375
83,6.916666666666667,15.09375
84,7.0,15.09375
85,7.083333333333333,14.84375
86,7.166666666666667,14.59375
87,7.25,14.59375
88,7.333333333333333,14.84375
89,7.416666666666667,15.625
90,7.5,15.625
91,7.583333333333333,15.875
92,7.666666666666667,15.875
93,7.75,15.875
94,7.833333333333333,16.125
95,7.916666666666667,15.59375
96,8.0,16.125
97,8.083333333333334,16.375
98,8.166666666666666,16.375
99,8.25,16.125
100,8.333333333333334,16.375
101,8.416666666666666,17.40625
102,8.5,17.40625
103,8.583333333333334,17.40625
104,8.666666666666666,18.1875
105,8.75,17.6875
106,8.833333333333334,17.6875
107,8.916666666666666,18.1875
108,9.0,17.9375
109,9.083333333333334,18.1875
110,9.166666666666666,18.1875
111,9.25,18.96875
112,9.333333333333334,18.96875
113,9.416666666666666,19.21875
114,9.5,18.96875
115,9.583333333333334,18.96875
116,9.666666666666666,19.75
117,9.75,19.75
118,9.833333333333334,18.96875
119,9.916666666666666,18.71875
120,10.0,18.71875
121,10.083333333333334,18.46875
122,10.166666666666666,18.71875
123,10.25,18.46875
124,10.333333333333334,19.0
125,10.416666666666666,18.75
126,10.5,18.75
127,10.583333333333334,18.75
128,10.666666666666666,18.75
129,10.75,18.75
130,10.833333333333334,18.75
131,10.916666666666666,19.0
132,11.0,18.999999999999996
133,11.083333333333334,21.312499999999996
134,11.166666666666666,21.312499999999996
135,11.25,21.312499999999996
136,11.333333333333334,21.562499999999996
137,11.416666666666666,22.343749999999996
138,11.5,22.593749999999996
139,11.583333333333334,22.062499999999996
140,11.666666666666666,21.28125
141,11.75,21.53125
142,11.833333333333334,20.75
143,11.916666666666666,21.78125
144,12.0,22.03125
145,12.083333333333334,22.8125
146,12.166666666666666,22.8125
147,12.25,22.5625
148,12.333333333333334,22.8125
149,12.416666666666666,23.84375
150,12.5,23.84375
151,12.583333333333334,24.09375
152,12.666666666666666,24.34375
153,12.75,23.5625
154,12.833333333333334,24.34375
155,12.916666666666666,25.375
156,13.0,25.125
157,13.083333333333334,25.125
158,13.166666666666666,25.125
159,13.25,25.125
160,13.333333333333334,24.875
161,13.416666666666666,25.125
162,13.5,26.15625
163,13.583333333333334,25.90625
164,13.666666666666666,25.65625
165,13.75,25.65625
166,13.833333333333334,26.15625
167,13.916666666666666,27.1875
168,14.0,26.65625
169,14.083333333333334,27.6875
170,14.166666666666666,28.96875
171,14.25,29.21875
172,14.333333333333334,30.0
173,14.416666666666666,30.25
174,14.5,31.28125
175,14.583333333333334,32.0625
176,14.666666666666666,32.3125
177,14.75,31.53125
178,14.833333333333334,31.53125
179,14.916666666666666,31.53125
180,15.0,30.21875
181,15.083333333333334,30.21875
182,15.166666666666666,31.0
183,15.25,31.78125
184,15.333333333333334,31.78125
185,15.416666666666666,31.53125
186,15.5,31.28125
187,15.583333333333334,31.03125
188,15.666666666666666,31.03125
189,15.75,30.78125
190,15.833333333333334,30.78125
191,15.916666666666666,31.28125
192,16.0,32.0625
