,time (hours),Agg Mem util(%)
2265,188.75,54.3125
2266,188.83333333333334,54.3125
2267,188.91666666666666,53.25
2268,189.0,54.3125
2269,189.08333333333334,53.78125
2270,189.16666666666666,53.78125
2271,189.25,53.78125
2272,189.33333333333334,54.3125
2273,189.41666666666666,52.71875
2274,189.5,53.25
2275,189.58333333333334,54.3125
2276,189.66666666666666,52.71875
2277,189.75,53.25
2278,189.83333333333334,53.25
2279,189.91666666666666,53.25
2280,190.0,53.25
2281,190.08333333333334,52.71875
2282,190.16666666666666,53.25
2283,190.25,53.25
2284,190.33333333333334,53.25
2285,190.41666666666666,52.71875
2286,190.5,52.71875
2287,190.58333333333334,53.25
2288,190.66666666666666,52.71875
2289,190.75,52.1875
2290,190.83333333333334,52.71875
2291,190.91666666666666,52.71875
2292,191.0,52.71875
2293,191.08333333333334,52.1875
2294,191.16666666666666,52.71875
2295,191.25,52.71875
2296,191.33333333333334,53.25
2297,191.41666666666666,51.65625
2298,191.5,52.71875
2299,191.58333333333334,52.71875
2300,191.66666666666666,52.1875
2301,191.75,51.65625
2302,191.83333333333334,52.1875
2303,191.91666666666666,52.1875
2304,192.0,51.65625
2305,192.08333333333334,52.71875
2306,192.16666666666666,52.71875
2307,192.25,52.71875
2308,192.33333333333334,52.71875
2309,192.41666666666666,52.1875
2310,192.5,51.65625
2311,192.58333333333334,52.1875
2312,192.66666666666666,52.1875
2313,192.75,51.65625
2314,192.83333333333334,52.1875
2315,192.91666666666666,51.65625
2316,193.0,52.1875
2317,193.08333333333334,52.71875
2318,193.16666666666666,52.1875
2319,193.25,52.1875
2320,193.33333333333334,52.71875
2321,193.41666666666666,52.1875
2322,193.5,52.1875
2323,193.58333333333334,52.1875
2324,193.66666666666666,52.1875
2325,193.75,52.1875
2326,193.83333333333334,52.71875
2327,193.91666666666666,53.25
2328,194.0,52.71875
2329,194.08333333333334,52.71875
2330,194.16666666666666,52.71875
2331,194.25,52.1875
2332,194.33333333333334,51.65625
2333,194.41666666666666,52.1875
2334,194.5,52.1875
2335,194.58333333333334,52.1875
2336,194.66666666666666,52.1875
2337,194.75,52.1875
2338,194.83333333333334,52.1875
2339,194.91666666666666,52.71875
2340,195.0,52.1875
2341,195.08333333333334,52.71875
2342,195.16666666666666,52.1875
2343,195.25,52.1875
2344,195.33333333333334,51.125
2345,195.41666666666666,53.25
2346,195.5,51.125
2347,195.58333333333334,52.1875
2348,195.66666666666666,53.25
