,time (hours),Agg Mem util(%)
24997,2083.0833333333335,52.3125
24998,2083.1666666666665,52.3125
24999,2083.25,52.3125
25000,2083.3333333333335,53.09375
25001,2083.4166666666665,53.625
25002,2083.5,54.15625
25003,2083.5833333333335,53.625
25004,2083.6666666666665,53.90625
25005,2083.75,52.84375
25006,2083.8333333333335,53.375
25007,2083.9166666666665,53.375
25008,2084.0,52.84375
25009,2084.0833333333335,52.3125
25010,2084.1666666666665,52.84375
25011,2084.25,52.84375
25012,2084.3333333333335,54.40625
25013,2084.4166666666665,53.875
25014,2084.5,57.5625
25015,2084.5833333333335,55.4375
25016,2084.6666666666665,57.03125
25017,2084.75,55.4375
25018,2084.8333333333335,57.03125
25019,2084.9166666666665,54.90625
25020,2085.0,56.5
25021,2085.0833333333335,54.65625
25022,2085.1666666666665,54.65625
25023,2085.25,55.71875
25024,2085.3333333333335,55.71875
25025,2085.4166666666665,55.1875
25026,2085.5,55.71875
25027,2085.5833333333335,56.25
25028,2085.6666666666665,54.65625
25029,2085.75,55.1875
25030,2085.8333333333335,53.875
25031,2085.9166666666665,54.9375
25032,2086.0,55.1875
25033,2086.0833333333335,56.78125
25034,2086.1666666666665,58.34375
25035,2086.25,56.75
25036,2086.3333333333335,57.28125
25037,2086.4166666666665,57.8125
25038,2086.5,56.75
25039,2086.5833333333335,57.5625
25040,2086.6666666666665,57.03125
25041,2086.75,57.28125
25042,2086.8333333333335,57.03125
25043,2086.9166666666665,57.28125
25044,2087.0,56.75
25045,2087.0833333333335,56.78125
25046,2087.1666666666665,55.71875
25047,2087.25,57.03125
25048,2087.3333333333335,56.25
25049,2087.4166666666665,55.96875
25050,2087.5,55.96875
25051,2087.5833333333335,56.5
25052,2087.6666666666665,54.90625
25053,2087.75,55.96875
25054,2087.8333333333335,55.4375
25055,2087.9166666666665,54.125
25056,2088.0,56.25
25057,2088.0833333333335,54.125
25058,2088.1666666666665,54.65625
25059,2088.25,55.1875
25060,2088.3333333333335,54.65625
25061,2088.4166666666665,55.1875
25062,2088.5,54.65625
25063,2088.5833333333335,54.90625
25064,2088.6666666666665,57.03125
25065,2088.75,55.4375
25066,2088.8333333333335,57.28125
25067,2088.9166666666665,55.96875
25068,2089.0,55.4375
25069,2089.0833333333335,55.4375
25070,2089.1666666666665,55.96875
25071,2089.25,56.5
25072,2089.3333333333335,56.5
25073,2089.4166666666665,56.5
25074,2089.5,56.5
25075,2089.5833333333335,56.5
25076,2089.6666666666665,55.4375
25077,2089.75,53.34375
25078,2089.8333333333335,54.65625
25079,2089.9166666666665,55.1875
25080,2090.0,55.71875
25081,2090.0833333333335,55.1875
25082,2090.1666666666665,57.28125
25083,2090.25,57.28125
25084,2090.3333333333335,57.8125
25085,2090.4166666666665,58.0625
25086,2090.5,57.53125
25087,2090.5833333333335,58.59375
25088,2090.6666666666665,58.0625
25089,2090.75,57.8125
25090,2090.8333333333335,57.3125
25091,2090.9166666666665,56.78125
25092,2091.0,56.25
25093,2091.0833333333335,56.78125
25094,2091.1666666666665,56.25
25095,2091.25,56.25
25096,2091.3333333333335,55.4375
25097,2091.4166666666665,55.71875
25098,2091.5,54.65625
25099,2091.5833333333335,55.1875
25100,2091.6666666666665,55.1875
25101,2091.75,55.96875
25102,2091.8333333333335,55.4375
25103,2091.9166666666665,55.1875
25104,2092.0,55.1875
25105,2092.0833333333335,54.125
25106,2092.1666666666665,55.4375
25107,2092.25,55.96875
25108,2092.3333333333335,57.28125
25109,2092.4166666666665,57.28125
25110,2092.5,57.0
25111,2092.5833333333335,58.0625
25112,2092.6666666666665,57.53125
25113,2092.75,57.53125
25114,2092.8333333333335,57.53125
25115,2092.9166666666665,58.0625
25116,2093.0,57.53125
25117,2093.0833333333335,57.8125
25118,2093.1666666666665,56.21875
25119,2093.25,56.75
25120,2093.3333333333335,57.28125
25121,2093.4166666666665,55.6875
25122,2093.5,58.0625
25123,2093.5833333333335,57.0
25124,2093.6666666666665,58.0625
25125,2093.75,57.53125
25126,2093.8333333333335,59.65625
25127,2093.9166666666665,57.28125
25128,2094.0,57.8125
25129,2094.0833333333335,57.8125
25130,2094.1666666666665,56.21875
25131,2094.25,55.96875
25132,2094.3333333333335,54.65625
25133,2094.4166666666665,54.125
25134,2094.5,55.1875
25135,2094.5833333333335,54.125
25136,2094.6666666666665,55.1875
25137,2094.75,54.65625
25138,2094.8333333333335,57.03125
25139,2094.9166666666665,56.5
25140,2095.0,55.96875
25141,2095.0833333333335,55.1875
25142,2095.1666666666665,53.09375
25143,2095.25,53.34375
25144,2095.3333333333335,52.5625
25145,2095.4166666666665,53.34375
25146,2095.5,53.875
25147,2095.5833333333335,55.1875
25148,2095.6666666666665,55.71875
25149,2095.75,56.75
25150,2095.8333333333335,57.28125
25151,2095.9166666666665,57.28125
25152,2096.0,56.75
25153,2096.0833333333335,56.75
25154,2096.1666666666665,57.28125
25155,2096.25,55.96875
25156,2096.3333333333335,55.4375
25157,2096.4166666666665,57.03125
25158,2096.5,54.125
25159,2096.5833333333335,55.1875
25160,2096.6666666666665,55.1875
25161,2096.75,54.65625
25162,2096.8333333333335,54.125
25163,2096.9166666666665,55.1875
25164,2097.0,54.125
25165,2097.0833333333335,55.1875
25166,2097.1666666666665,55.1875
25167,2097.25,56.21875
25168,2097.3333333333335,57.28125
25169,2097.4166666666665,57.28125
25170,2097.5,56.75
25171,2097.5833333333335,56.75
25172,2097.6666666666665,57.28125
25173,2097.75,57.28125
25174,2097.8333333333335,57.28125
25175,2097.9166666666665,56.75
25176,2098.0,56.21875
25177,2098.0833333333335,56.75
25178,2098.1666666666665,56.75
25179,2098.25,58.59375
25180,2098.3333333333335,57.53125
25181,2098.4166666666665,59.125
25182,2098.5,58.59375
25183,2098.5833333333335,58.0625
25184,2098.6666666666665,58.0625
25185,2098.75,58.0625
25186,2098.8333333333335,58.0625
25187,2098.9166666666665,58.3125
25188,2099.0,60.15625
25189,2099.0833333333335,61.21875
25190,2099.1666666666665,60.15625
25191,2099.25,60.15625
25192,2099.3333333333335,60.6875
25193,2099.4166666666665,60.6875
25194,2099.5,58.59375
25195,2099.5833333333335,59.125
25196,2099.6666666666665,59.65625
25197,2099.75,59.125
25198,2099.8333333333335,59.125
25199,2099.9166666666665,58.59375
