,time (hours),total jobs
0,0.11361111111111111,1
1,0.26416666666666666,2
2,0.2925,3
3,0.41805555555555557,4
4,0.42833333333333334,5
5,0.43194444444444446,6
6,0.45944444444444443,7
7,0.5619444444444445,8
8,0.5866666666666667,9
9,0.6472222222222223,10
10,0.7461111111111111,11
11,0.75,10
12,0.9041666666666667,11
13,1.0375,12
14,1.073888888888889,13
15,1.1666666666666667,12
16,1.4241666666666666,13
17,1.436388888888889,14
18,1.4477777777777778,15
19,1.5,14
20,1.5508333333333333,15
21,1.5833333333333333,14
22,1.696388888888889,15
23,1.7113888888888888,16
24,1.7205555555555556,17
25,1.8333333333333333,16
26,1.8333333333333333,15
27,1.9172222222222222,16
28,2.1580555555555554,17
29,2.253888888888889,18
30,2.2591666666666668,19
31,2.4166666666666665,18
32,2.424166666666667,19
33,2.6391666666666667,20
34,2.6925,21
35,2.8047222222222223,22
36,2.8247222222222224,23
37,2.851111111111111,24
38,2.9858333333333333,25
39,3.0902777777777777,26
40,3.1752777777777776,27
41,3.1952777777777777,28
42,3.230277777777778,29
43,3.2580555555555555,30
44,3.4166666666666665,29
45,3.463888888888889,30
46,3.4930555555555554,31
47,3.5,30
48,3.5833333333333335,29
49,3.6666666666666665,28
50,3.674722222222222,29
51,3.7094444444444443,30
52,3.75,29
53,3.9166666666666665,28
54,3.9811111111111113,29
55,4.083333333333333,28
56,4.213611111111111,29
57,4.240277777777778,30
58,4.25,29
59,4.296388888888889,30
60,4.313611111111111,31
61,4.345277777777778,32
62,4.431388888888889,33
63,4.493611111111111,34
64,4.550277777777778,35
65,4.583333333333333,34
66,4.75,33
67,4.833333333333333,32
68,5.0,31
69,5.0,30
70,5.083333333333333,29
71,5.166666666666667,28
72,5.208611111111111,29
73,5.2877777777777775,30
74,5.416666666666667,29
75,5.444444444444445,30
76,5.463055555555556,31
77,5.583333333333333,30
78,5.637777777777778,31
79,5.738611111111111,32
80,5.792222222222223,33
81,5.833333333333333,32
82,5.876111111111111,33
83,6.095277777777778,34
84,6.222222222222222,35
85,6.349444444444444,36
86,6.5,35
87,6.503888888888889,36
88,6.517222222222222,37
89,6.536388888888889,38
90,6.75,37
91,6.833333333333333,36
92,6.878333333333333,37
93,7.083333333333333,36
94,7.166666666666667,35
95,7.275277777777778,36
96,7.354166666666667,37
97,7.581388888888889,38
98,7.786388888888889,39
99,7.890833333333333,40
100,7.916666666666667,39
101,7.9430555555555555,40
102,8.0,39
103,8.029444444444444,40
104,8.25,39
105,8.308055555555555,40
106,8.351666666666667,41
107,8.365,42
108,8.599444444444444,43
109,8.63,44
110,8.666666666666666,43
111,8.75,42
112,8.75,41
113,8.863888888888889,42
114,8.873888888888889,43
115,9.0,42
116,9.062222222222223,43
117,9.223611111111111,44
118,9.34361111111111,45
119,9.363888888888889,46
120,9.416666666666666,45
121,9.5,44
122,9.592777777777778,45
123,9.833333333333334,44
124,9.916666666666666,43
125,9.963333333333333,44
126,10.0,43
127,10.083333333333334,42
128,10.12,43
129,10.25,42
130,10.258888888888889,43
131,10.333333333333334,42
132,10.416666666666666,41
133,10.851111111111111,42
134,10.915277777777778,43
135,10.916666666666666,42
136,10.982222222222223,43
137,11.0,42
138,11.010555555555555,43
139,11.013055555555555,44
140,11.042222222222222,45
141,11.043055555555556,46
142,11.071944444444444,47
143,11.290277777777778,48
144,11.370555555555555,49
145,11.493611111111111,50
146,11.579722222222221,51
147,11.583333333333334,50
148,11.666666666666666,49
149,11.675277777777778,50
150,11.833333333333334,49
151,11.846111111111112,50
152,11.869722222222222,51
153,11.989444444444445,52
154,12.050833333333333,53
155,12.25,52
156,12.2725,53
157,12.396944444444445,54
158,12.404166666666667,55
159,12.583333333333334,56
160,12.615277777777777,57
161,12.700833333333334,58
162,12.75,57
163,12.75,56
164,12.761944444444444,57
165,12.831111111111111,58
166,12.833333333333334,57
167,12.89638888888889,58
168,12.908055555555556,59
169,13.0,58
170,13.109166666666667,59
171,13.166666666666666,58
172,13.333333333333334,57
173,13.399166666666666,58
174,13.419444444444444,59
175,13.4925,60
176,13.583333333333334,59
177,13.666666666666666,58
178,13.751111111111111,59
179,13.804166666666667,60
180,13.838611111111112,61
181,13.876111111111111,62
182,13.996666666666666,63
183,14.0,62
184,14.015555555555556,63
185,14.043055555555556,64
186,14.139444444444445,65
187,14.146666666666667,66
188,14.153333333333334,67
189,14.225555555555555,68
190,14.244722222222222,69
191,14.25,68
192,14.254166666666666,69
193,14.262222222222222,70
194,14.333333333333334,69
195,14.387222222222222,70
196,14.444722222222222,71
197,14.47638888888889,72
198,14.481111111111112,73
199,14.5,72
200,14.541666666666666,73
201,14.634444444444444,74
202,14.75,73
203,14.937777777777777,74
204,15.0,73
205,15.0,72
206,15.061111111111112,73
207,15.083333333333334,72
208,15.091666666666667,73
209,15.1075,74
210,15.166666666666666,73
211,15.175555555555556,74
212,15.176666666666666,75
213,15.25,74
214,15.416666666666666,73
215,15.5,72
216,15.583333333333334,71
217,15.75,70
218,15.895833333333334,71
219,15.904444444444444,72
220,15.982777777777779,73
221,16.083333333333332,72
222,16.166666666666668,71
223,16.25,70
224,16.28361111111111,71
225,16.5,70
226,16.5,69
227,16.51861111111111,70
228,16.55611111111111,71
229,16.75,70
230,16.75,69
231,16.755555555555556,70
232,16.860833333333332,71
233,16.861944444444443,72
234,16.901666666666667,73
235,16.916666666666668,72
236,17.0,71
237,17.166666666666668,70
238,17.2125,71
239,17.246666666666666,72
240,17.333333333333332,71
241,17.333333333333332,70
242,17.3975,71
243,17.433055555555555,72
244,17.459444444444443,73
245,17.485,74
246,17.563333333333333,75
247,17.666666666666668,74
248,17.75,73
249,17.825277777777778,74
250,17.836111111111112,75
251,17.916666666666668,74
252,18.032777777777778,75
253,18.033333333333335,76
254,18.14611111111111,77
255,18.16583333333333,78
256,18.25,77
257,18.255,78
258,18.333333333333332,77
259,18.333333333333332,76
260,18.346666666666668,77
261,18.355555555555554,78
262,18.44333333333333,79
263,18.540555555555557,80
264,18.583333333333332,79
265,18.603055555555557,80
266,18.644166666666667,81
267,18.833333333333332,80
268,18.898888888888887,81
269,19.0,80
270,19.0,79
271,19.0,78
272,19.02638888888889,79
273,19.075,80
274,19.314722222222223,81
275,19.416666666666668,80
276,19.666666666666668,79
277,19.666666666666668,78
278,19.666666666666668,77
279,19.719722222222224,78
280,19.833333333333332,77
281,19.916666666666668,76
282,19.916666666666668,75
283,20.0,74
284,20.00888888888889,75
285,20.23111111111111,76
286,20.333333333333332,75
287,20.416666666666668,74
288,20.468055555555555,75
289,20.490277777777777,76
290,20.66,77
291,20.84027777777778,78
292,20.875,79
293,20.916666666666668,78
294,20.92861111111111,79
295,21.083333333333332,78
296,21.14611111111111,79
297,21.17111111111111,80
298,21.219166666666666,81
299,21.247222222222224,82
300,21.25,81
301,21.30388888888889,82
302,21.5,81
303,21.52611111111111,82
304,21.574444444444445,83
305,21.63138888888889,84
306,21.676111111111112,85
307,21.69,86
308,21.711944444444445,87
309,21.71638888888889,88
310,21.78,89
311,21.833333333333332,88
312,21.843888888888888,89
313,21.857777777777777,90
314,21.88138888888889,91
315,21.916666666666668,90
316,21.916666666666668,89
317,22.0,88
318,22.01861111111111,89
319,22.100277777777777,90
320,22.229444444444443,91
321,22.28,92
322,22.5,91
323,22.610555555555557,92
324,22.719166666666666,93
325,22.75,92
326,22.860555555555557,93
327,22.916666666666668,92
328,22.916666666666668,91
329,22.939166666666665,92
330,22.983055555555556,93
331,23.0,92
332,23.073055555555555,93
333,23.083333333333332,92
334,23.083333333333332,91
335,23.13388888888889,92
336,23.25,91
337,23.25,90
338,23.259722222222223,91
339,23.36611111111111,92
340,23.424166666666668,93
341,23.464444444444446,94
342,23.5,93
343,23.5,92
344,23.5,91
345,23.526944444444446,92
346,23.583333333333332,91
347,23.63083333333333,92
348,23.700555555555557,93
349,23.75,92
350,23.825833333333332,93
351,23.897222222222222,94
352,23.916666666666668,93
353,23.916666666666668,92
354,24.016944444444444,93
355,24.0975,94
356,24.143055555555556,95
357,24.166666666666668,94
358,24.25,93
359,24.267222222222223,94
360,24.333333333333332,93
361,24.416666666666668,92
362,24.45,93
363,24.45277777777778,94
364,24.5,93
365,24.666666666666668,92
366,24.911944444444444,93
367,25.122777777777777,94
368,25.190555555555555,95
369,25.21472222222222,96
370,25.25,95
371,25.290555555555557,96
372,25.308333333333334,97
373,25.333333333333332,96
374,25.5,95
375,25.55638888888889,96
376,25.666666666666668,95
377,25.666666666666668,94
378,25.72388888888889,95
379,25.745555555555555,96
380,25.75,95
381,25.815,96
382,25.846944444444443,97
383,25.914722222222224,98
384,26.0,97
385,26.037222222222223,98
386,26.137777777777778,99
387,26.166666666666668,98
388,26.243333333333332,99
389,26.30527777777778,100
390,26.333333333333332,99
391,26.371111111111112,100
392,26.416666666666668,99
393,26.5,98
394,26.5225,99
395,26.583333333333332,98
396,26.589166666666667,99
397,26.79277777777778,100
398,26.833333333333332,99
399,26.833333333333332,98
400,26.916666666666668,97
401,26.954166666666666,98
402,27.028055555555557,99
403,27.06388888888889,100
404,27.166666666666668,99
405,27.203055555555554,100
406,27.238333333333333,101
407,27.25,100
408,27.25,99
409,27.25,98
410,27.333333333333332,97
411,27.333333333333332,96
412,27.486944444444443,97
413,27.5,96
414,27.503611111111113,97
415,27.5575,98
416,27.583333333333332,97
417,27.583333333333332,96
418,27.666666666666668,95
419,27.666666666666668,94
420,27.69388888888889,95
421,27.75,94
422,27.75,93
423,27.75,92
424,27.753611111111113,93
425,27.833333333333332,92
426,27.833333333333332,91
427,27.840555555555557,92
428,27.84777777777778,93
429,27.90277777777778,94
430,28.166666666666668,93
431,28.227222222222224,94
432,28.25,93
433,28.44333333333333,94
434,28.496666666666666,95
435,28.583333333333332,94
436,28.75,93
437,28.75,92
438,28.814722222222223,93
439,28.916666666666668,92
440,28.970555555555556,93
441,29.05666666666667,94
442,29.083333333333332,93
443,29.083333333333332,92
444,29.166666666666668,91
445,29.235555555555557,92
446,29.25,91
447,29.31,92
448,29.333333333333332,91
449,29.37361111111111,92
450,29.416666666666668,91
451,29.428333333333335,92
452,29.5,91
453,29.571666666666665,92
454,29.583333333333332,91
455,29.851944444444445,92
456,29.916666666666668,91
457,29.936944444444446,92
458,30.036666666666665,93
459,30.046666666666667,94
460,30.063055555555554,95
461,30.083333333333332,94
462,30.085555555555555,95
463,30.13861111111111,96
464,30.166666666666668,95
465,30.166666666666668,94
466,30.20611111111111,95
467,30.365277777777777,96
468,30.401666666666667,97
469,30.434166666666666,98
470,30.5,97
471,30.505,98
472,30.511111111111113,99
473,30.539444444444445,100
474,30.583333333333332,99
475,30.583333333333332,98
476,30.708333333333332,99
477,30.75,98
478,30.833333333333332,97
479,30.864444444444445,98
480,30.889166666666668,99
481,30.916666666666668,98
482,30.997222222222224,99
483,31.01222222222222,100
484,31.10472222222222,101
485,31.166666666666668,100
486,31.166666666666668,99
487,31.174444444444443,100
488,31.25,99
489,31.333333333333332,98
490,31.336388888888887,99
491,31.44,100
492,31.607222222222223,101
493,31.666666666666668,100
494,31.916666666666668,99
495,31.97888888888889,100
496,32.0,99
497,32.0,98
498,32.075,99
499,32.083333333333336,98
500,32.166666666666664,97
501,32.166666666666664,96
502,32.166666666666664,95
503,32.17055555555555,96
504,32.22694444444444,97
505,32.23583333333333,98
506,32.24777777777778,99
507,32.25,98
508,32.458888888888886,99
509,32.64083333333333,100
510,32.81055555555555,101
511,32.89527777777778,102
512,32.903333333333336,103
513,32.905,104
514,33.0,103
515,33.09722222222222,104
516,33.160555555555554,105
517,33.25,104
518,33.25,103
519,33.272777777777776,104
520,33.409444444444446,105
521,33.431111111111115,106
522,33.5,105
523,33.5,104
524,33.583333333333336,103
525,33.75,102
526,33.805277777777775,103
527,33.833333333333336,102
528,33.833333333333336,101
529,33.833333333333336,100
530,33.91166666666667,101
531,34.0,100
532,34.0775,101
533,34.14111111111111,102
534,34.166666666666664,101
535,34.166666666666664,100
536,34.17611111111111,101
537,34.37361111111111,102
538,34.41,103
539,34.416666666666664,102
540,34.44111111111111,103
541,34.535,104
542,34.58083333333333,105
543,34.583333333333336,104
544,34.583333333333336,103
545,34.666666666666664,102
546,34.75,101
547,34.7925,102
548,34.833333333333336,101
549,34.833333333333336,100
550,34.86694444444444,101
551,35.04472222222222,102
552,35.08138888888889,103
553,35.083333333333336,102
554,35.215833333333336,103
555,35.25,102
556,35.306111111111115,103
557,35.333333333333336,102
558,35.333333333333336,101
559,35.416666666666664,100
560,35.583333333333336,99
561,35.635,100
562,35.66583333333333,101
563,35.666666666666664,100
564,35.666666666666664,99
565,35.74055555555555,100
566,35.75,99
567,35.833333333333336,98
568,35.87111111111111,99
569,35.916666666666664,98
570,35.937222222222225,99
571,35.94833333333333,100
572,36.00611111111111,101
573,36.04694444444444,102
574,36.098333333333336,103
575,36.1825,104
576,36.25,103
577,36.333333333333336,102
578,36.416666666666664,101
579,36.583333333333336,100
580,36.81527777777778,101
581,36.833333333333336,100
582,36.86,101
583,36.89527777777778,102
584,36.92444444444445,103
585,36.96666666666667,104
586,37.083333333333336,103
587,37.083333333333336,102
588,37.166666666666664,101
589,37.25,100
590,37.30166666666667,101
591,37.32555555555555,102
592,37.333333333333336,101
593,37.333333333333336,100
594,37.361666666666665,101
595,37.416666666666664,100
596,37.583333333333336,99
597,37.666666666666664,98
598,37.75,97
599,37.75,96
600,37.75,95
601,37.77916666666667,96
602,37.833333333333336,95
603,37.88027777777778,96
604,37.916666666666664,95
605,38.0,94
606,38.079166666666666,95
607,38.10805555555555,96
608,38.14805555555556,97
609,38.163333333333334,98
610,38.5,97
611,38.5,96
612,38.570277777777775,97
613,38.60888888888889,98
614,38.666666666666664,97
615,38.721944444444446,98
616,38.73416666666667,99
617,38.829166666666666,100
618,38.901666666666664,101
619,38.92444444444445,102
620,38.956944444444446,103
621,38.970555555555556,104
622,39.0275,105
623,39.123333333333335,106
624,39.141666666666666,107
625,39.416666666666664,106
626,39.416666666666664,105
627,39.416666666666664,104
628,39.47277777777778,105
629,39.5,104
630,39.5,103
631,39.75,102
632,39.833333333333336,101
633,39.833333333333336,100
634,39.916666666666664,99
635,39.916666666666664,98
636,40.0,97
637,40.039722222222224,98
638,40.083333333333336,97
639,40.13055555555555,98
640,40.23416666666667,99
641,40.25,98
642,40.26277777777778,99
643,40.31611111111111,100
644,40.333333333333336,99
645,40.355555555555554,100
646,40.5,99
647,40.5,98
648,40.666666666666664,97
649,40.666666666666664,96
650,40.75,95
651,40.833333333333336,94
652,40.867777777777775,95
653,40.916666666666664,94
654,40.96138888888889,95
655,41.0,94
656,41.06611111111111,95
657,41.25,94
658,41.39388888888889,95
659,41.416666666666664,94
660,41.503055555555555,95
661,41.623333333333335,96
662,41.653888888888886,97
663,41.66277777777778,98
664,41.72138888888889,99
665,41.79194444444445,100
666,41.82138888888889,101
667,41.916666666666664,100
668,41.95638888888889,101
669,41.96472222222222,102
670,42.0,101
671,42.0,100
672,42.25111111111111,101
673,42.37138888888889,102
674,42.433055555555555,103
675,42.46138888888889,104
676,42.583333333333336,103
677,42.666666666666664,102
678,42.727222222222224,103
679,42.73555555555556,104
680,42.833333333333336,103
681,42.910555555555554,104
682,43.064166666666665,105
683,43.083333333333336,104
684,43.083333333333336,103
685,43.166666666666664,102
686,43.25,101
687,43.333333333333336,100
688,43.333333333333336,99
689,43.346666666666664,100
690,43.361666666666665,101
691,43.495555555555555,102
692,43.57277777777778,103
693,43.583333333333336,102
694,43.636944444444445,103
695,43.641666666666666,104
696,43.78916666666667,105
697,43.82138888888889,106
698,43.85027777777778,107
699,43.916666666666664,106
700,43.94861111111111,107
701,44.25,106
702,44.333333333333336,105
703,44.5,104
